ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
321,7/27/2024 12:15:09 PM,Green,2,BRANCH AVE,Waterfront- Track 2; ,F05-F2-93
260,7/27/2024 12:15:13 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:13 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1;  Doors operating manually; Doors open right,F03-F1-49
264,7/27/2024 12:15:13 PM,Silver,1,LARGO TOWN CENTER,Capitol Heights- Track 1; ,G02-G1-423
270,7/27/2024 12:15:13 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D05-D2-114
232,7/27/2024 12:15:13 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  motion;,A10-A2-444
321,7/27/2024 12:15:14 PM,Green,2,BRANCH AVE,,F05-F2-93
260,7/27/2024 12:15:18 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:18 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1;  Doors operating manually;,F03-F1-49
264,7/27/2024 12:15:18 PM,Silver,1,LARGO TOWN CENTER,,G02-G1-430
270,7/27/2024 12:15:18 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  motion;,D05-D2-111
232,7/27/2024 12:15:18 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  motion;,A10-A2-444
321,7/27/2024 12:15:19 PM,Green,2,BRANCH AVE,,F05-F2-101
260,7/27/2024 12:15:23 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:23 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1;  Doors operating manually;,F03-F1-49
264,7/27/2024 12:15:23 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-434
270,7/27/2024 12:15:23 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  motion;,D05-D2-111
232,7/27/2024 12:15:23 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  motion;,A10-A2-444
321,7/27/2024 12:15:24 PM,Green,2,BRANCH AVE,,F05-F2-101
260,7/27/2024 12:15:28 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:28 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1; ,F03-3ATN
264,7/27/2024 12:15:28 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-434
270,7/27/2024 12:15:28 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  motion;,D05-D2-111
232,7/27/2024 12:15:28 PM,Red,2,SHADY GROVE,Medical Center- Track 2; ,A10-A2-444
321,7/27/2024 12:15:29 PM,Green,2,BRANCH AVE,,F05-F2-101
260,7/27/2024 12:15:33 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:33 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1; ,F03-F1-38
264,7/27/2024 12:15:33 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-440
270,7/27/2024 12:15:33 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  motion;,D05-D2-111
232,7/27/2024 12:15:33 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  Doors open left,A10-A2-444
321,7/27/2024 12:15:34 PM,Green,2,BRANCH AVE,,F05-F2-107
260,7/27/2024 12:15:38 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:38 PM,Yellow,1,MT VERNON SQ,,F03-F1-38
264,7/27/2024 12:15:38 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-440
270,7/27/2024 12:15:38 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  motion;,D05-D2-111
232,7/27/2024 12:15:38 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  Doors open left,A10-A2-444
321,7/27/2024 12:15:38 PM,Green,2,BRANCH AVE,,F05-F2-112
260,7/27/2024 12:15:43 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:43 PM,Yellow,1,MT VERNON SQ,,F03-F1-32
264,7/27/2024 12:15:43 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-445
270,7/27/2024 12:15:43 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  motion;,D05-D2-111
232,7/27/2024 12:15:45 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  Doors operating manually; Doors open left,A10-A2-444
321,7/27/2024 12:15:43 PM,Green,2,BRANCH AVE,,F05-F2-112
260,7/27/2024 12:15:50 PM,Orange,2,VIENNA,Smithsonian- Track 2;  Doors open right,D02-D2-36
254,7/27/2024 12:15:50 PM,Yellow,1,MT VERNON SQ,,F03-F1-32
264,7/27/2024 12:15:50 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-449
270,7/27/2024 12:15:48 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2; ,D05-D2-111
232,7/27/2024 12:15:50 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  Doors operating manually;,A10-A2-444
321,7/27/2024 12:15:48 PM,Green,2,BRANCH AVE,,F05-1BTN
260,7/27/2024 12:15:55 PM,Orange,2,VIENNA,Smithsonian- Track 2;  Doors open right,D02-D2-36
254,7/27/2024 12:15:55 PM,Yellow,1,MT VERNON SQ,,F03-F1-32
264,7/27/2024 12:15:55 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-449
