TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Yellow,2,Mt Vernon Sq,13,-8574048.15,4708051.158
Yellow,2,Mt Vernon Sq,13,-8574048.15,4708116.532
Yellow,2,Mt Vernon Sq,13,-8574048.15,4708298.78
Green,2,Shaw/Howard U,13,-8574048.373,4708996.758
Green,2,Shaw/Howard U,13,-8574048.373,4709123.798
Green,2,Shaw/Howard U,13,-8574048.373,4709291.328
Yellow,2,L Enfant Plaza Upper,10,-8574052.269,4704926.156
Blue,2,Rosslyn,11,-8579488.222,4706626.345
Orange,1,McPherson Square,12,-8575041.565,4707546.636
Silver,2,L Enfant Plaza Lower,24,-8574058.725,4705199.014
Blue,1,Rosslyn,11,-8579484.771,4706960.18
Orange,2,Smithsonian,15,-8574829.836,4705912.511
Silver,1,L Enfant Plaza Lower,24,-8574059.616,4705181.853
Green,1,Shaw/Howard U,13,-8574081.323,4709649.43
Green,1,Georgia Avenue,16,-8574107.483,4712886.086
Red,1,Woodley Park Zoo/Adams Morgan,12,-8577365.026,4710781.477
Red,1,Woodley Park Zoo/Adams Morgan,12,-8577473.006,4711011.565
Green,1,Georgia Avenue,16,-8574214.907,4712699.892
Blue,2,Rosslyn,11,-8579483.992,4706510.778
Orange,2,Smithsonian,15,-8574819.594,4706019.347
Silver,2,L Enfant Plaza Lower,24,-8574222.031,4705198.871
Green,2,Georgia Avenue,16,-8574227.374,4712707.191
Green,2,Georgia Avenue,16,-8574301.179,4712579.39
Blue,1,Rosslyn,11,-8579482.99,4707043.569
Orange,2,Smithsonian,15,-8574812.692,4705824.412
Silver,2,L Enfant Plaza Lower,24,-8574312.979,4705199.014
Green,2,Georgia Avenue,16,-8574346.152,4712501.537
Red,2,Woodley Park Zoo/Adams Morgan,12,-8577460.204,4711018.147
Red,2,Woodley Park Zoo/Adams Morgan,12,-8577557.274,4711232.786
Green,2,Georgia Avenue,16,-8574372.312,4712455.885
Green,2,U Street,14,-8574385.893,4709783.489
Green,2,Georgia Avenue,16,-8574454.021,4712314.921
Red,2,Brookland,21,-8570947.457,4711750.227
Green,2,U Street,14,-8574481.628,4709783.489
Orange,1,Smithsonian,15,-8574788.759,4705705.279
Green,2,U Street,14,-8574664.303,4709783.489
Green,1,U Street,14,-8574664.303,4709798.083
Silver,1,Smithsonian,23,-8574712.171,4705432.264
Blue,1,Rosslyn,11,-8579478.426,4706790.544
Orange,2,Smithsonian,15,-8574783.304,4705706.423
Orange,1,Federal Triangle,14,-8574755.474,4706201.128
Silver,2,Metro Center Lower,21,-8574717.848,4707118.949
Blue,2,Foggy Bottom,12,-8577518.869,4707465.532
Blue,2,Foggy Bottom,12,-8577366.473,4707465.532
Orange,2,Metro Center Lower,13,-8574750.687,4707405.169
Blue,1,Foggy Bottom,12,-8577179.345,4707449.654
Silver,2,Federal Triangle,22,-8574722.412,4706757.646
Orange,1,Smithsonian,15,-8574745.789,4705532.803
Blue,2,Foggy Bottom,12,-8577178.343,4707465.675
Blue,1,Foggy Bottom,12,-8577008.247,4707449.797
Orange,1,Federal Triangle,14,-8574739.667,4706475.45
Silver,2,Federal Triangle,22,-8574725.195,4706475.45
Silver,2,Metro Center Lower,21,-8574725.863,4707338.369
Blue,1,Foggy Bottom,12,-8576944.238,4707449.797
Red,2,Brookland,21,-8570968.496,4711903.347
Red,2,Brookland,21,-8570999.443,4712098.113
Orange,1,Metro Center Lower,13,-8574737.774,4706804.561
Silver,1,Metro Center Lower,21,-8574736.661,4707116.947
Blue,1,Foggy Bottom,12,-8576849.839,4707451.371
Orange,1,Metro Center Lower,13,-8574737.106,4706867.638
Blue,2,Farragut West,13,-8576432.168,4707552.215
Orange,1,Metro Center Lower,13,-8574736.661,4707116.947
Silver,1,Metro Center Lower,21,-8574737.774,4706804.561
Blue,2,Farragut West,13,-8576292.908,4707552.215
Blue,2,Farragut West,13,-8576105.446,4707552.215
Blue,1,Farragut West,13,-8576105.334,4707546.779
Orange,2,Federal Triangle,14,-8574725.195,4706475.45
Silver,1,Federal Triangle,22,-8574739.667,4706475.45
Blue,1,Farragut West,13,-8575904.848,4707546.779
Silver,1,Federal Triangle,22,-8574740.001,4706303.676
Orange,2,Federal Triangle,14,-8574724.75,4706676.548
Silver,1,Smithsonian,23,-8574745.789,4705532.803
Blue,2,McPherson Square,14,-8575746.218,4707552.215
Orange,2,Federal Triangle,14,-8574718.961,4706850.045
Orange,2,Metro Center Lower,13,-8574717.848,4707118.949
Blue,2,McPherson Square,14,-8575578.682,4707552.215
